nome_tabela;unb;cod_sku;desconto
PDV_Simpsons;710;10537;0.038
PDV_La Bocca;710;12951;0.1
PDV_VB;710;12951;0.1
PDV_Emporio Sto Antonio;710;12951;0.1
PDV_Aeroporto;710;12951;0.1
PDV_Ditado Popular;111;13194;0.111
PDV_Ditado Popular;111;13195;0.086
PDV_Appreciatto;710;13566;0.082
REG_Bud & Match;849;13566;0.121
PDV_Pump;849;13839;0.061
PDV_Autoposto;710;13839;0.08
PDV_Appreciatto;710;13839;0.091
PDV_Five;710;14099;0.094
PDV_Nau Mangai;710;14099;0.094
PDV_Rio Butiquim;710;14099;0.094
PDV_Five;710;14548;0.03
PDV_Nau Mangai;710;14548;0.053
REG_Colorado & Patagonia;849;14548;0.1
PDV_Aeroporto;710;14550;0.069
REG_Colorado & Patagonia;849;14550;0.1
PDV_Five;710;14552;0.03
REG_Colorado & Patagonia;849;14556;0.1
PDV_Five;710;15321;0.127
PDV_Simpsons;710;1695;0.038
REG_Colorado & Patagonia;849;17276;0.079
REG_Colorado & Patagonia;849;17278;0.079
PDV_Simpsons;710;1743;0.04
REG_Hiperseg/Vip;710;17757;0.06
PDV_Five;710;17757;0.06
REG_Vitrine HE;849;17757;0.081
REG_H&W_NAB;710;17757;0.09
REG_PIZZARIAS_HIPERSEG;710;17757;0.09
PDV_RK;849;17757;0.15
PDV_Autoposto;710;17808;0.019
PDV_Sala Vip Aeroporto;710;17808;0.041
PDV_Appreciatto;710;17808;0.044
REG_Hiperseg/Vip;710;17808;0.05
REG_Vitrine HE;849;17808;0.073
PDV_Five;710;17808;0.088
PDV_Emporio Sto Antonio;710;17808;0.1
PDV_Aeroporto;710;17808;0.1
REG_Central de Eventos;710;17808;0.1
REG_Bud & Match;849;17808;0.12
PDV_Aeroporto;710;18807;0.007
PDV_Autoposto;710;18807;0.025
REG_Vitrine HE;849;18807;0.035
REG_Hiperseg/Vip;710;18807;0.046
PDV_Emporio Sto Antonio;710;18807;0.097
PDV_Sala Vip Aeroporto;710;18807;0.097
PDV_Meet;849;18807;0.121
PDV_Aeroporto;710;18836;0.012
PDV_Appreciatto;710;18836;0.025
PDV_Autoposto;710;18836;0.032
REG_Hiperseg/Vip;710;18836;0.055
REG_Vitrine HE;849;18836;0.073
REG_H&W_NAB;710;18836;0.083
REG_PIZZARIAS_HIPERSEG;710;18836;0.083
PDV_Five;710;18836;0.085
PDV_Emporio Sto Antonio;710;18836;0.097
PDV_Sala Vip Aeroporto;710;18836;0.097
REG_Central de Eventos;710;18836;0.097
PDV_RK;849;18836;0.2
PDV_RK;849;19166;0.077
REG_Hiperseg/Vip;710;19166;0.1
REG_Colorado & Patagonia;849;19166;0.1
PDV_Appreciatto;710;19266;0.037
PDV_Rio Butiquim;710;19520;0.143
PDV_Five;710;19520;0.276
PDV_Pump;849;20072;0.1
PDV_Appreciatto;710;20072;0.1
PDV_Aeroporto;710;20329;0.093
PDV_Pump;849;20498;0.1
PDV_Simpsons;710;20530;0.1
REG_Hiperseg/Vip;710;20531;0.055
PDV_Aeroporto;710;20531;0.1
PDV_Meet;849;29580;0.121
PDV_Meet;849;20535;0.095
REG_Hiperseg/Vip;710;20651;0.035
REG_Hiperseg/Vip;710;21113;0.058
REG_H&W_NAB;710;21113;0.087
REG_PIZZARIAS_HIPERSEG;710;21113;0.087
PDV_Sala Vip Aeroporto;710;21113;0.097
REG_Bud & Match;849;21119;0.121
